,track_id,artists,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,followers,explicit_label,fame_score
0,2tTmW7RDtMQtBk7m2rYeSw,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",99,198937,False,0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,4,hip-hop,2270177.0,Non-Explicit,0.7765693936234199
1,4C6Uex2ILwJi9sZXRdmqXp,Nicki Minaj,Super Freaky Girl,92,170977,True,0.95,0.891,2,-2.653,1,0.241,0.0645,1.77e-05,0.309,0.912,133.01,4,hip-hop,20977302.0,Explicit,0.916583715494783
2,3F5CgOj3wFlRv51JsHbxhe,Drake,Jimmy Cooks (feat. 21 Savage),91,218364,True,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,4,hip-hop,54416812.0,Explicit,0.9766067330697129
3,38T0tPVZHcPZyhtOcCP7pF,Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),90,210575,True,0.637,0.715,2,-4.971,0,0.0455,0.148,0.0,0.0892,0.308,,4,hip-hop,4562300.0,Explicit,0.8205190214171023
4,27ZZdyTSQWI7Cug2d2PkqV,Armani White,BILLIE EILISH.,89,99282,True,0.9,0.509,1,-6.647,1,0.257,0.115,1.67e-06,0.0937,0.765,100.007,4,hip-hop,18846.0,Explicit,0.4748738653738448
5,5HCyWlXZPP0y6Gqq8TgA20,Justin Bieber,STAY (with Justin Bieber),89,141805,True,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,4,hip-hop,44606973.0,Explicit,0.9640897894674249
6,1PckUlxKqWQs3RlWXVBLw3,Lizzo,About Damn Time,89,191822,True,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966,4,hip-hop,3764116.0,Explicit,0.8084094270432506
7,59nOXPmaKlBfGMDeOVGrIK,Drake,WAIT FOR U (feat. Drake & Tems),89,189893,True,0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,4,hip-hop,54416812.0,Explicit,0.9766067330697129
8,1DIXPcTDzTj8ZMHt3PDt8p,Coolio,Gangsta's Paradise,89,240693,False,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.386,79.975,4,hip-hop,464059.0,Non-Explicit,0.6766015890965826
9,7lQ8MOhq6IN2w8EYcFNSUk,Eminem,Without Me,88,290320,True,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,4,hip-hop,43747833.0,Explicit,0.9628651828806797
10,2gYj9lubBorOPIVWsTXugG,IVE,After LIKE,88,176973,False,0.68,0.922,0,-1.215,1,0.121,0.103,0.0,0.0877,0.799,125.014,4,k-pop,702.0,Non-Explicit,0.2677880756978718
11,68Dni7IE4VyPkTOH9mRWHr,J. Cole,No Role Modelz,88,292799,True,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,4,hip-hop,13067338.0,Explicit,0.8867794296095325
